family	suite_harness	kani_harness	rc	wall_s	verdict	status	kaniraw_new
datetime-cmp	wave7_proofs::eq_tstz_mi_interval_at_zone_m0d0	wave7_proofs::eq_tstz_mi_interval_at_zone_m0d0	0	11	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	wave7_proofs::eq_tstz_mi_interval_at_zone_nobegin	wave7_proofs::eq_tstz_mi_interval_at_zone_nobegin	0	7	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	wave7_proofs::eq_tstz_mi_interval_at_zone_noend	wave7_proofs::eq_tstz_mi_interval_at_zone_noend	0	8	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	wave7_proofs::eq_tstz_mi_interval_m0d0	wave7_proofs::eq_tstz_mi_interval_m0d0	0	8	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	wave7_proofs::eq_tstz_mi_interval_nobegin	wave7_proofs::eq_tstz_mi_interval_nobegin	0	6	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	wave7_proofs::eq_tstz_mi_interval_noend	wave7_proofs::eq_tstz_mi_interval_noend	0	6	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	wave7_proofs::eq_tstz_pl_interval_at_zone_m0d0	wave7_proofs::eq_tstz_pl_interval_at_zone_m0d0	0	13	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	wave7_proofs::eq_tstz_pl_interval_at_zone_nobegin	wave7_proofs::eq_tstz_pl_interval_at_zone_nobegin	0	7	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	wave7_proofs::eq_tstz_pl_interval_at_zone_noend	wave7_proofs::eq_tstz_pl_interval_at_zone_noend	0	16	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	wave7_proofs::eq_tstz_pl_interval_m0d0	wave7_proofs::eq_tstz_pl_interval_m0d0	0	7	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	wave7_proofs::eq_tstz_pl_interval_nobegin	wave7_proofs::eq_tstz_pl_interval_nobegin	0	7	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	wave7_proofs::eq_tstz_pl_interval_noend	wave7_proofs::eq_tstz_pl_interval_noend	0	5	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	wave7_proofs::spot_timestamp_scale	wave7_proofs::spot_timestamp_scale	0	9	VERIFICATION:- SUCCESSFUL	RAN	1
