family	harness	tier	expected	outcome	wall_s	timeout_s	verdict	log
float-agg	proofs::grid_covar_samp	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	float-agg--proofs__grid_covar_samp_.log
float-agg	proofs::grid_regr_avgx	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	float-agg--proofs__grid_regr_avgx_.log
float-agg	proofs::grid_corr	unmeasured	unmeasured	unmeasured-green	30	600	VERIFICATION:- SUCCESSFUL	float-agg--proofs__grid_corr_.log
float-agg	proofs::grid_regr_avgy	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	float-agg--proofs__grid_regr_avgy_.log
datetime-b	proofs::eq_make_date_ad_band	unmeasured	unmeasured	unmeasured-timeout	601	600	NO-VERDICT	datetime-b--proofs__eq_make_date_ad_band_.log
datetime-b	proofs::eq_make_date_full	unmeasured	unmeasured	unmeasured-timeout	601	600	NO-VERDICT	datetime-b--proofs__eq_make_date_full_.log
datetime-b	proofs::eq_make_timestamp_ad_band	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	datetime-b--proofs__eq_make_timestamp_ad_band_.log
datetime-b	proofs::eq_make_timestamp_bc_band	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	datetime-b--proofs__eq_make_timestamp_bc_band_.log
datetime-b	proofs::eq_make_time_secgrid	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	datetime-b--proofs__eq_make_time_secgrid_.log
datetime-b	proofs::spot_make_timestamp	unmeasured	unmeasured	unmeasured-timeout	601	600	NO-VERDICT	datetime-b--proofs__spot_make_timestamp_.log
datetime-b	rem::eq_interval_time_screen	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	datetime-b--rem__eq_interval_time_screen_.log
datetime-cmp	arith_proofs::eq_interval_justify_hours	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	datetime-cmp--arith_proofs__eq_interval_justify_hours_.log
datetime-cmp	arith_proofs::eq_interval_justify_interval	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	datetime-cmp--arith_proofs__eq_interval_justify_interval_.log
datetime-cmp	arith_proofs::eq_time_mi_interval	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	datetime-cmp--arith_proofs__eq_time_mi_interval_.log
datetime-cmp	arith_proofs::eq_time_pl_interval	unmeasured	unmeasured	unmeasured-timeout	601	600	NO-VERDICT	datetime-cmp--arith_proofs__eq_time_pl_interval_.log
datetime-cmp	arith_proofs::eq_timestamp_mi	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	datetime-cmp--arith_proofs__eq_timestamp_mi_.log
datetime-cmp	arith_proofs::eq_timetz_mi_interval	unmeasured	unmeasured	unmeasured-timeout	601	600	NO-VERDICT	datetime-cmp--arith_proofs__eq_timetz_mi_interval_.log
datetime-cmp	arith_proofs::eq_timetz_pl_interval	unmeasured	unmeasured	unmeasured-timeout	601	600	NO-VERDICT	datetime-cmp--arith_proofs__eq_timetz_pl_interval_.log
