file	sloc	kani	fuzz	regress	any
crates/backend/access/gin/gin/src/entrypage.rs	452	0	0	410	410
crates/backend/access/gin/gin/src/fast.rs	468	0	0	414	414
crates/backend/access/gin/gin/src/get.rs	852	0	0	688	688
crates/backend/access/gin/gin/src/insert.rs	308	0	0	276	276
crates/backend/access/gin/gin/src/lib.rs	93	0	0	76	76
crates/backend/access/gin/gin/src/logic.rs	49	0	0	44	44
crates/backend/access/gin/gin/src/opclass.rs	460	0	0	247	247
crates/backend/access/gin/gin/src/postinglist.rs	130	0	0	109	109
crates/backend/access/gin/gin/src/scan.rs	289	0	0	241	241
crates/backend/access/gin/gin/src/tests.rs	0	0	0	0	0
crates/backend/access/gin/gin/src/util.rs	312	0	0	246	246
crates/backend/access/gin/gin/src/vacuum.rs	443	0	0	393	393
crates/backend/access/gin/gin/src/wal.rs	77	0	0	67	67
crates/backend/access/gin/gin_btree_seams/src/lib.rs	23	0	0	0	0
crates/backend/access/gin/gin_funcs/src/lib.rs	49	0	0	23	23
crates/backend/access/gin/gin_hstore_seams/src/lib.rs	6	0	0	0	0
crates/backend/access/gin/gin_int4_seams/src/lib.rs	9	0	0	0	0
crates/backend/access/gin/gin_trgm_seams/src/lib.rs	22	0	0	0	0
crates/backend/access/gin/gin_validate/src/lib.rs	171	0	0	74	74
crates/backend/access/gin/gin_vocab/src/lib.rs	175	0	0	73	73
crates/backend/access/gin/gin_xlog/src/lib.rs	494	0	0	0	0
crates/backend/access/gin/ginbuild/src/lib.rs	113	0	0	89	89
crates/backend/access/gist/gist/src/get.rs	441	0	0	351	351
crates/backend/access/gist/gist/src/insert.rs	825	0	0	491	491
crates/backend/access/gist/gist/src/lib.rs	52	0	0	40	40
crates/backend/access/gist/gist/src/scan.rs	151	0	0	131	131
crates/backend/access/gist/gist/src/split.rs	362	0	0	194	194
crates/backend/access/gist/gist/src/state.rs	130	0	0	90	90
crates/backend/access/gist/gist/src/state_tests.rs	152	0	0	0	0
crates/backend/access/gist/gist/src/util.rs	471	0	0	417	417
crates/backend/access/gist/gist/src/vacuum.rs	243	0	0	137	137
crates/backend/access/gist/gist/src/wal.rs	145	0	0	67	67
crates/backend/access/gist/gist_validate/src/lib.rs	179	0	0	82	82
crates/backend/access/gist/gist_xlog/src/lib.rs	234	0	0	0	0
crates/backend/access/gist/gistbuild/src/buffered.rs	356	0	0	329	329
crates/backend/access/gist/gistbuild/src/buffers.rs	264	0	0	248	248
crates/backend/access/gist/gistbuild/src/lib.rs	325	0	0	300	300
crates/backend/access/gist/gistproc/src/lib.rs	532	0	0	442	442
