family	harness	tier	expected	outcome	wall_s	timeout_s	verdict	log
pg_lsn	wave5::eq_pg_lsn_recv_core_d5	unmeasured	unmeasured	unmeasured-green	231	600	VERIFICATION:- SUCCESSFUL	pg_lsn--wave5__eq_pg_lsn_recv_core_d5_.log
pg_lsn	wave5::eq_pg_lsn_recv_core_d6	unmeasured	unmeasured	unmeasured-green	231	600	VERIFICATION:- SUCCESSFUL	pg_lsn--wave5__eq_pg_lsn_recv_core_d6_.log
pg_lsn	wave5::eq_pg_lsn_recv_core_d7	unmeasured	unmeasured	unmeasured-green	230	600	VERIFICATION:- SUCCESSFUL	pg_lsn--wave5__eq_pg_lsn_recv_core_d7_.log
strings-scalar	proofs::eq_pg_column_size_cstring	unmeasured	unmeasured	unmeasured-green	90	600	VERIFICATION:- SUCCESSFUL	strings-scalar--proofs__eq_pg_column_size_cstring_.log
text-slice	wave8::control_bytea_int4_short	unmeasured	unmeasured	unmeasured-failed	20	600	VERIFICATION:- FAILED	text-slice--wave8__control_bytea_int4_short_.log
text-slice	wave8::cover_bytea_int_err_arms	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	text-slice--wave8__cover_bytea_int_err_arms_.log
text-slice	wave8::cover_byteaoverlay_regimes	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	text-slice--wave8__cover_byteaoverlay_regimes_.log
text-slice	wave8::eq_bytea_bit_count	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	text-slice--wave8__eq_bytea_bit_count_.log
strings-scalar	proofs::control_byteain_len_skew	unmeasured	unmeasured	unmeasured-failed	160	600	VERIFICATION:- FAILED	strings-scalar--proofs__control_byteain_len_skew_.log
text-slice	wave8::eq_bytea_int2	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	text-slice--wave8__eq_bytea_int2_.log
text-slice	wave8::eq_bytea_int4	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	text-slice--wave8__eq_bytea_int4_.log
