family	harness	tier	expected	outcome	wall_s	timeout_s	verdict	log
geo-cmp	ext2::proofs_ext2::eq_line_perp_arm1	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_line_perp_arm1_.log
geo-cmp	ext2::proofs_ext2::eq_box_mul_p2c2	unmeasured	unmeasured	unmeasured-green	271	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_box_mul_p2c2_.log
geo-cmp	ext2::proofs_ext2::eq_line_eq_nan_plane	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_line_eq_nan_plane_.log
geo-cmp	ext2::proofs_ext2::eq_line_perp_arm2	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_line_perp_arm2_.log
geo-cmp	ext2::proofs_ext2::eq_line_perp_arm3	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_line_perp_arm3_.log
geo-cmp	ext2::proofs_ext2::eq_line_perp_arm4	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_line_perp_arm4_.log
geo-cmp	ext2::proofs_ext2::eq_line_vertical	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_line_vertical_.log
geo-cmp	ext2::proofs_ext2::eq_line_perp_grid	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_line_perp_grid_.log
geo-cmp	ext2::proofs_ext2::eq_on_pl_hplane	unmeasured	unmeasured	unmeasured-green	30	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_on_pl_hplane_.log
geo-cmp	ext2::proofs_ext2::eq_on_pl_vplane	unmeasured	unmeasured	unmeasured-green	30	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_on_pl_vplane_.log
geo-cmp	ext2::proofs_ext2::eq_on_sb	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_on_sb_.log
geo-cmp	ext2::proofs_ext2::eq_line_eq_grid	unmeasured	unmeasured	unmeasured-green	70	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_line_eq_grid_.log
geo-cmp	ext2::proofs_ext2::eq_box_div_p2c2	unmeasured	unmeasured	unmeasured-green	451	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_box_div_p2c2_.log
geo-cmp	ext2::proofs_ext2::eq_on_ps_grid	unmeasured	unmeasured	unmeasured-green	60	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_on_ps_grid_.log
geo-cmp	ext2::proofs_ext2::eq_box_div_p2c4	unmeasured	unmeasured	unmeasured-green	471	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_box_div_p2c4_.log
geo-cmp	ext2::proofs_ext2::eq_box_div_p2c3	unmeasured	unmeasured	unmeasured-green	492	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_box_div_p2c3_.log
geo-cmp	ext2::proofs_ext2::eq_box_mul_p2c4	unmeasured	unmeasured	unmeasured-green	371	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_box_mul_p2c4_.log
geo-cmp	ext2::proofs_ext2::eq_on_sl_vplane	unmeasured	unmeasured	unmeasured-green	80	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_on_sl_vplane_.log
geo-cmp	ext2::proofs_ext2::eq_on_pl_dplane	unmeasured	unmeasured	unmeasured-green	130	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_on_pl_dplane_.log
geo-cmp	ext2::proofs_ext2::eq_line_construct_pp_grid	unmeasured	unmeasured	unmeasured-green	160	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_line_construct_pp_grid_.log
geo-cmp	ext2::proofs_ext2::eq_point_box_img	unmeasured	unmeasured	unmeasured-green	90	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_point_box_img_.log
geo-cmp	ext2::proofs_ext2::eq_on_sl_hplane	unmeasured	unmeasured	unmeasured-green	110	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_on_sl_hplane_.log
geo-cmp	ext2::proofs_ext2::eq_box_circle_hslice	unmeasured	unmeasured	unmeasured-timeout	601	600	NO-VERDICT	geo-cmp--ext2__proofs_ext2__eq_box_circle_hslice_.log
geo-cmp	ext2::proofs_ext2::eq_box_mul_p2c3	unmeasured	unmeasured	unmeasured-green	421	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_box_mul_p2c3_.log
geo-cmp	ext2::proofs_ext2::eq_box_sub_img	unmeasured	unmeasured	unmeasured-green	301	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_box_sub_img_.log
geo-cmp	ext2::proofs_ext2::eq_box_distance_hslice	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	geo-cmp--ext2__proofs_ext2__eq_box_distance_hslice_.log
geo-cmp	ext2::proofs_ext2::eq_points_box_img	unmeasured	unmeasured	unmeasured-green	90	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_points_box_img_.log
geo-cmp	ext2::proofs_ext2::eq_point_mul_grid	unmeasured	unmeasured	unmeasured-green	130	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_point_mul_grid_.log
geo-cmp	ext2::proofs_ext2::eq_box_div_pow2plane	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	geo-cmp--ext2__proofs_ext2__eq_box_div_pow2plane_.log
geo-cmp	ext2::proofs_ext2::eq_point_div_grid	unmeasured	unmeasured	unmeasured-green	181	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_point_div_grid_.log
