family	harness	outcome	wall_s	timeout_s	verdict	job
aclcheck	proofs::eq_has_language_privilege_id_name	unmeasured-timeout	601	600	NO-VERDICT	pgrust-kani-suite-1785474907-0cb7-22299
aclcheck	proofs::eq_has_function_privilege_name_id	unmeasured-timeout	601	600	NO-VERDICT	pgrust-kani-suite-1785474907-0cb7-22299
aclcheck	proofs::eq_has_language_privilege_id	unmeasured-timeout	601	600	NO-VERDICT	pgrust-kani-suite-1785474907-0cb7-22299
aclcheck	proofs::eq_has_database_privilege_name_name	unmeasured-timeout	601	600	NO-VERDICT	pgrust-kani-suite-1785474907-0cb7-22299
aclcheck	proofs::eq_has_language_privilege_name_id	unmeasured-timeout	601	600	NO-VERDICT	pgrust-kani-suite-1785474907-0cb7-22299
aclcheck	proofs::eq_has_language_privilege_name_name	unmeasured-timeout	602	600	NO-VERDICT	pgrust-kani-suite-1785474907-0cb7-22299
aclcheck	proofs::eq_has_schema_privilege_id	unmeasured-timeout	602	600	NO-VERDICT	pgrust-kani-suite-1785474907-0cb7-22299
aclcheck	proofs::spot_aclitemin_literals	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474907-0cb7-22299
aclcheck	proofs::spot_aclitemout_numeric	unmeasured-rss-kill	181	600	NO-VERDICT	pgrust-kani-suite-1785474907-0cb7-22299
aclcheck	proofs::eq_has_schema_privilege_id_id	unmeasured-timeout	602	600	NO-VERDICT	pgrust-kani-suite-1785474907-0cb7-22299
aclcheck	proofs::eq_has_schema_privilege_name	unmeasured-timeout	602	600	NO-VERDICT	pgrust-kani-suite-1785474907-0cb7-22299
aclcheck	proofs::eq_has_schema_privilege_id_name	unmeasured-timeout	602	600	NO-VERDICT	pgrust-kani-suite-1785474907-0cb7-22299
aclcheck	proofs::eq_has_schema_privilege_name_id	unmeasured-timeout	602	600	NO-VERDICT	pgrust-kani-suite-1785474907-0cb7-22299
